0;0,111;0,073;0,072;0,07;0,09;0,077;0,071;0,094;0,116;0,066;0,064;0,058
29;0,095;0,072;0,067;0,069;0,076;0,09;0,072;0,1;0,112;0,066;0,063;0,056
60;0,109;0,074;0,069;0,071;0,078;0,103;0,09;0,101;0,094;0,066;0,064;0,058
89;0,11;0,07;0,07;0,068;0,072;0,09;0,07;0,099;0,111;0,063;0,063;0,06
119;0,111;0,075;0,072;0,068;0,09;0,102;0,075;0,103;0,117;0,067;0,063;0,06
149;0,108;0,076;0,07;0,074;0,09;0,09;0,09;0,102;0,118;0,066;0,067;0,061
179;0,11;0,098;0,076;0,072;0,09;0,077;0,09;0,114;0,116;0,09;0,113;0,061
209;0,108;0,097;0,074;0,072;0,102;0,09;0,09;0,104;0,116;0,093;0,114;0,065
239;0,113;0,098;0,097;0,075;0,074;0,105;0,102;0,103;0,12;0,113;0,111;0,084
269;0,118;0,1;0,099;0,075;0,103;0,09;0,102;0,137;0,121;0,115;0,118;0,09
299;0,13;0,12;0,101;0,075;0,09;0,107;0,127;0,137;0,121;0,117;0,115;0,115
329;0,128;0,119;0,116;0,09;0,101;0,143;0,126;0,15;0,137;0,122;0,121;0,116
359;0,175;0,129;0,124;0,09;0,1;0,106;0,122;0,178;0,147;0,137;0,147;0,117
389;0,192;0,138;0,125;0,09;0,101;0,09;0,126;0,149;0,149;0,137;0,146;0,132
419;0,198;0,177;0,129;0,09;0,102;0,138;0,132;0,175;0,176;0,146;0,148;0,148
449;0,229;0,185;0,205;0,101;0,1;0,149;0,174;0,219;0,181;0,15;0,188;0,173
479;0,233;0,222;0,205;0,101;0,102;0,165;0,221;0,271;0,223;0,183;0,191;0,176
509;0,329;0,241;0,236;0,102;0,128;0,15;0,323;0,325;0,279;0,229;0,257;0,189
539;0,368;0,371;0,32;0,123;0,127;0,15;0,332;0,39;0,376;0,296;0,324;0,268
569;0,466;0,412;0,369;0,126;0,137;0,155;0,497;0,487;0,466;0,379;0,408;0,311
599;0,534;0,48;0,487;0,128;0,139;0,157;0,606;0,644;0,621;0,441;0,49;0,399
629;0,673;0,608;0,633;0,126;0,129;0,155;0,745;0,812;0,751;0,555;0,607;0,48
659;0,779;0,738;0,723;0,129;0,136;0,2;0,865;0,914;0,906;0,662;0,719;0,554
689;0,884;0,909;0,892;0,134;0,165;0,191;0,945;1,129;1,076;0,836;0,837;0,707
719;0,979;1,041;0,997;0,178;0,166;0,213;1,209;1,354;1,281;1,072;1,084;0,954
749;1,047;1,244;1,124;0,175;0,163;0,247;1,417;1,617;1,576;1,415;1,339;1,154
779;1,296;1,433;1,356;0,197;0,229;0,28;1,67;1,899;1,806;1,696;1,634;1,402
809;1,502;1,649;1,552;0,219;0,226;0,279;1,8;2,051;1,991;1,978;1,973;1,648
839;1,702;1,894;1,815;0,221;0,232;0,276;2,067;2,22;2,192;2,244;2,316;1,89
869;1,866;2,086;1,947;0,234;0,239;0,281;2,261;2,409;2,422;2,486;2,455;2,041
899;2,09;2,388;2,166;0,241;0,303;0,365;2,465;2,642;2,567;2,743;2,687;2,232
